url,users,sessions,engaged_sessions,avg_engagement_time,conversions
https://www.example-florist.com/blogs/news/who-wears-a-boutonniere-in-a-wedding,3440,4300,2600,31,48
https://www.example-florist.com/blogs/news/the-5-most-romantic-flowers-and-their-stories,800,1000,610,22,9
https://www.example-florist.com/blogs/news/10-eco-friendly-floral-ideas-for-sustainable-gifting,1280,1600,980,28,14
https://www.example-florist.com/blogs/news/what-flowers-should-i-order-for-a-funeral,1200,1500,910,35,18
https://www.example-florist.com/blogs/news/boxed-flower-arrangements-flower-care-tips,560,700,420,18,5
https://www.example-florist.com/blogs/news/the-ultimate-guide-to-choosing-flowers-for-any-occasion,1120,1400,840,25,12
https://www.example-florist.com/blogs/news/the-science-of-flowers-how-blooms-impact-your-mood-and-well-being,770,960,580,23,8
https://www.example-florist.com/blogs/news/fresh-start-flowers-to-brighten-your-new-year,690,860,520,19,6
https://www.example-florist.com/blogs/news/10-fall-flower-arrangement-ideas-for-2025,960,1200,720,27,11
https://www.example-florist.com/blogs/news/a-guide-to-writing-heartfelt-valentines-day-card-messages,1280,1600,970,24,16
https://www.example-florist.com/blogs/news/how-to-make-your-floral-arrangements-last-longer,1000,1260,760,26,13
https://www.example-florist.com/blogs/news/what-do-pink-roses-really-say-symbolism-shades-occasions,880,1100,660,29,10
https://www.example-florist.com/blogs/news/rosh-hashanah-flowers-symbolic-blooms-for-the-jewish-new-year,690,860,520,31,7
https://www.example-florist.com/blogs/news/desk-goals-why-petite-floral-arrangements-are-the-ultimate-decor-hack,620,780,470,14,5
https://www.example-florist.com/products/lillian,1260,1580,950,21,52
https://www.example-florist.com/products/rose-deluxe,960,1200,720,19,41
https://www.example-florist.com/products/seasonal-white-bouquet,810,1010,610,20,33
https://www.example-florist.com/pages/about,420,530,320,12,4
https://www.example-florist.com/collections/sympathy-flowers,1730,2160,1300,17,37
https://www.example-florist.com/pages/wedding-flowers,980,1230,740,20,19
